English,Hebrew
onto,On
op,op
open,פתוח
opened,נפתח
opening,פתיחה
opens,נפתח
operated,מופעל
operation,פעולה
operative,פעיל
operator,מפעיל
option,אפשרות
options,אפשרויות
or,או
oral,אוראלי
orange,כתום
orb,גלגל
orbit,מסלול
order,סדר
ordered,פקודה
ordering,סדר
orders,פקודות
ordinary,רגיל
organ,איבר
organic,אורגני
organisms,אורגניזמים
organized,מאורגן
oriented,מכוון
origin,מקור
original,מקורי
other,אחר
ought,צריך
ounce,אונקיה
ounces,אונקיות
our,שלנו
out,החוצה.
outer,חיצוני
output,פלט
outside,בחוץ
oven,תנור
over,עבור.
ow,ני
owe,חייב
owed,חייב
owing,חייב
owl,ינשוף
own,בעלים
owned,בבעלות
owner,בעלים
owners,בעלים
ox,שור
oxide,תחמוצת
p,P
pa,אבא.
pace,קצב
pack,חפיסה
package,חבילה
packed,ארוז
packing,אריזה
packs,חפיסות
pad,פנקס
page,עמוד
pages,עמודים
pay,שלם.
paid,שולם
paying,לשלם.
payment,תשלום
pain,כאב
painted,צבוע
pair,זוג
pal,חבר
pan,מחבת
panel,לוח
panic,פאניקה
pants,מכנסיים
paper,נייר
papers,מסמכים
par,נקוב
parable,משל
paragraph,פסקה
parent,הורה
parents,הורים
park,פרק
part,חלק
party,מסיבה
partial,חלקי
particularly,במיוחד.
parts,חלקים
pas,pas
pass,עבור.
password,ססמה
past,עבר
paste,הדבק
pat,טפט
patch,תיקון
path,נתיב
patient,סבלנות.
pattern,תבנית
pause,עצור
pe,פ.
peace,שלום
peak,שיא
pee,פיפי.
peed,השתנתי.
peer,חבר
peg,יתד
pen,עט
people,אנשים
per,פר
percent,אחוזים
perfect,מושלם.
performance,ביצועים
performing,ביצוע
perhaps,אולי.
period,תקופה
person,אדם
personal,אישי
pet,חיית מחמד
ph,ph
phase,שלב
phil,פיל.
physical,פיזי
phone,טלפון
phones,טלפונים
phony,מזויף
photo,תמונה
photos,תמונות
phrase,ביטוי
pi,pi
pic,תמונה
pick,בחר
picked,נבחר
picking,בחר
picture,תמונה
pictured,בתמונה
pie,פאי
piece,חתיכה
pieces,חלקים
pill,גלולה
pillar,עמוד
pin,סיכה
pine,אורן
pins,סיכות
pipe,צינור
pit,בור
python,פיתון
pl,pl
place,מיקום
placed,מיקום
places,מקומות
play,נגן
played,שחק
player,שחקן
players,שחקנים
playing,משחק
plain,רגיל
plays,מחזות
plan,תוכנית
plane,מטוס
planes,מטוסים
planet,כוכב
planned,מתוכנן
plant,צמח
plate,צלחת
plates,לוחית רישוי
platform,פלטפורמה
pleasant,נעים.
please,בבקשה.
ploy,תחבולה
plot,עלילה
plug,חיבור
plus,פלוס
po,פו
pocket,כיס
pod,תרמיל
point,נקודה
points,נקודות
poke,דקירה
pol,Pol
pole,עמוד
poly,פולי
police,משטרה.
policy,מדיניות
political,פוליטי
politics,פוליטיקה
poll,סקר
pool,בריכה
poor,עניים
pop,פופ
popular,פופולרי
population,אוכלוסייה
por,por
port,יציאה
porter,סבל
portion,חלק
pose,פוזה
posed,& הצג
position,מיקום
positive,חיובי.
possibly,אולי.
post,דואר
posted,פורסם
pot,סיר
potion,שיקוי
pound,פאונד
pour,למזוג
powder,אבקה
power,כוח
powerful,חזק
powers,כוחות
pox,אבעבועות
pr,PR
practice,תרגול
pre,קודם
prefix,קידומת
prep,הכנה
present,נוכח
president,נשיא
press,לחץ
pressed,לחץ
pressure,לחץ
pretty,יפה.
price,מחיר
primary,ראשי
prime,ראשי
print,הדפסה
printed,מודפס
prints,הדפסים
priority,עדיפות
prison,כלא
private,פרטי
pro,בעד
probably,כנראה.
problem,בעיה
process,תהליך
processing,עיבוד
processor,מעבד
proclaimed,הוכרז
produced,יוצר
producing,הפקה
product,מוצר
production,הפקה
productive,פרודוקטיבי
products,מוצרים
prof,פרופסור
professional,מקצועי
profile,פרופיל
profit,רווח
profits,רווחים
program,תוכנית
progress,התקדמות
project,פרוייקט
projects,פרוייקטים
prom,נשף סיום
prone,נוטה
proof,הוכחה
prop,אבזר
property,רכוש
properties,מאפיינים
protect,הגנה
protected,מוגן
protection,הגנה
protein,חלבון
prototype,אב טיפוס
proven,הוכח
provided,מסופק
proxy,פרוקסי
psych,פסיכולוגיה
pu,פו
pub,פאב
public,ציבורי
published,פורסם
puff,שאכטה
pull,משוך
pun,משחק מילים
punk,פאנק
pur,גרפ
pure,טהור
purpose,מטרה
push,דחוף
put,שם
q,Q
qua,Qua
qualified,מוסמך
quality,איכות
quant,קוונטי
quart,ליטר
quarter,רבע
quarters,רבעים
que,Que
query,שאילתה
quest,חיפוש
question,שאלה
queue,תור
quick,מהר.
quiet,שקט.
quit,התפטר
quite,בהחלט.
quote,ציטוט
r,r
ra,רה
race,מירוץ
racial,גזע
racist,גזעני
rack,מדף
rad,rad
radical,קיצוני
radio,רדיו
radius,רדיוס
raft,רפסודה
rag,סמרטוט
rage,זעם
ray,קרן
raid,פשיטה
rail,מסילה
rain,גשם
rained,גשםweather forecast
raining,גשםweather forecast
rays,קרניים
raise,מעלה
raised,הועלה
raising,מעלה
rake,מגרפה
ram,איל
ran,רץ
ranch,חווה
random,אקראי
rang,צלצל
range,טווח
rank,דרגה
ranking,דירוג
rap,ראפ
rape,אונס
raped,נאנסת.
rat,עכברוש
rate,קצב
rates,מחירים
rather,למדי.
rating,דירוג
ration,הקצבה
rational,הגיוני
rations,מנות
rats,חולדות
rave,רייב.
raw,גלם
re,מחדש
rea,Ree
reach,להגיע
reaching,להגיע
react,הגב
read,קרא
reader,קורא
ready,מוכן
reading,קריאה
real,אמיתי.
reality,מציאות
really,באמת.
reason,סיבה
reasonable,הגיוני
rec,Rec
received,התקבל
recent,לאחרונה
record,הקלטה
recorded,נרשם
red,אדום
redo,הפעל מחדש
reed,קנה
reek,מסריח.
ref,שופט.
reference,התייחסות
reflect,משקף
reg,רג '
region,אזור
register,רישום
registered,רשום
regular,רגיל
regulation,רגולציה
related,קרובי משפחה
relation,קשר
relations,יחסים
relative,יחסי
release,שחרור
released,שוחרר
relevant,רלוונטי
rely,מסתמכים
religious,דתי
remember,זכור
remote,מרוחק
remove,הסר
render,הפוך
rendered,שנית
rent,שכר דירה
rep,נציג
repair,תיקון
repeat,חזור
replace,החלף
reply,תשובה
report,דיווח
reported,דווח
reporting,דיווח
reports,דיווחים
represent,מייצג
represented,מיוצג
request,בקשה
require,דרישה
required,נדרש
requires,דורש
research,מחקר
resent,טינה.
reset,איפוס
resident,מתמחה
resist,התנגדות
resistant,עמיד
resolution,רזולוציה
resource,משאב
resources,משאבים
resp,נשימה
respect,כבוד
respected,מכובד.
respective,בהתאמה
respond,ענה.
response,תגובה
responsible,אחראי
responsive,ענה
rest,מנוחה
restricted,מוגבל
result,תוצאה
results,תוצאות
return,חזור
rev,Rev
reverse,הפוך
review,חזרה
reviewed,נבדק
revolution,מהפכה
rib,צלע
rice,אורז
rich,עשיר
rid,מחק
ridden,רכב
ride,רכב
rider,רוכב
ridge,רכס
rift,קרע
rig,אסדה
right,נכון.
righteous,צדיק
rim,מסגרת
ring,טבעת
rings,טבעות
riot,מהומה
rip,קרע
rise,עלייה
rises,עליות
rising,עולה
risk,סיכון
rite,טכס
rites,טקסים
rival,יריב
river,נהר
ro,ro
roach,מקק
road,כביש
roads,דרכים
rob,רוב
robe,חלוק
rock,רוק
rocket,טיל
rod,מוט
role,תפקיד
roll,גליל
rolled,התגלגל
roller,רולר
rolling,מתגלגל
roman,רומי
room,חדר
rooms,חדרים
root,שורש
roots,שורשים
rose,ורד.
rot,ריקבון
rough,קשה
round,עגול
rounded,מעוגל
rouse,התעורר
route,נתיב
row,שורה
rub,לשפשף
rue,רחוב
rug,שטיח
rugged,מחוספס
rule,כלל
rules,כללים
rum,רום
run,רוץ.
runner,רץ
running,רץ
runs,ריצות
rush,מהר.
rust,חלודה
s,S
sa,sa
sac,שק
safe,בטוח
safety,בטיחות
say,תגיד
said,אמר
sal,סאל.
sale,מכירה
sam,סאם.
same,אותו דבר.
sample,מדגם
san,סן
sand,חול
sat,ישב
save,שמור
saving,שמור
saw,מסור
sc,sc
scale,גודל
scan,סריקה
scar,צלקת
scene,סצנה
scenes,סצנות
sch,SH
school,בית ספר
sci,Sci
science,מדע
scientific,מדעי
scope,היקף
score,ציון
screen,מסך
scribe,סופר
script,תסריט
scroll,גלילה
se,se
sea,ים
search,חיפוש
season,עונה
seat,מושב
sec,שניות
second,שני
secondary,משני
seconds,שניות
secret,סוד
sect,כת
section,מחלקה
sector,גזרה
secure,מאובטח
security,אבטחה
see,רואה?
seed,זרע
seeing,רואה?
seek,חפש
seekers,מחפש
seeking,מחפש
seen,נראה
select,בחר
selected,נבחר
selection,בחירה
self,עצמי
sell,למכור.
seller,מוכר
selling,מוכר.
selves,self
send,שלח
sense,חוש
sensitive,רגיש
sent,נשלח
sequence,רצף
ser,ser
serial,סדרות
series,שורה
serious,ברצינות.
served,מוגש
server,שרת
service,שירות
services,שירותים
serving,הגשה
session,הפעלה
set,קבע
sets,סטים
setting,הגדרת
settings,הגדרות
setup,התקנה
seven,שבע.
sever,נתק
severe,חמור
sex,סקס
sexual,מיני
sh,Sh
sha,ש.
shadow,צל
shake,לנער
shall,בסדר.
shape,צורה
shaped,צורה
share,שיתוף
shared,משותף
sharing,שיתוף
sharp,חד
she,היא
shed,סככה
sheet,גיליון
sheets,דפים
shell,קליפה
shi,Shi
shield,מגן
shift,שינוי
shine,צחצוח
ship,ספינה
ships,ספינות
shirt,חולצה
shirts,חולצות
shit,חרא.
shock,הלם.
shoot,תירה.
shop,חנות
shore,חוף
short,קצר
shot,נורה.
shots,יריות.
should,צריך
show,הצג
shown,הצג
shows,הצג
shut,סגור
si,כן.
side,צד
sie,Sie
sight,מראה
sighted,נראה
sign,חתום
signed,חתום
significant,משמעותי
silver,כסף
sim,Sim
similar,דומה
simple,פשוט
sin,חטא
syn,סינכרון
sync,סינכרון
since,מאז
sing,תשיר.
single,רווק
sis,אחותי.
system,מערכת
sit,שב.
site,אתר
sites,אתרים
six,שש.
size,גודל
ski,סקי
sky,שמיים
skill,מיומנות
skilled,מיומן
skin,עור
skinned,עור
skip,דלג
slave,עבד
sleep,שינה
slice,פרוסה
slot,חריץ
slow,איטי
small,קטן
smart,חכם.
smoking,עישון
sn,Sn
snap,Snack
so,אז
social,חברתי
socket,שקע
soft,רך
software,תוכנה
sold,נמכר
sole,סול
solid,מוצק
some,חלק
someone,מישהו
something,משהו.
sometimes,לפעמים
son,בן.
song,שיר
soon,בקרוב.
sorry,מצטער.
sort,סוג
sound,צליל
sounding,נשמע
source,מקור
south,דרום
sp,sp
space,מרחב
span,אורך
spawn,שרצים
speak,דבר
speaking,מדבר
spec,מפרט
special,מיוחד
species,מינים
specific,ספציפי
specified,צוין
speech,דיבור
speed,מהירות
spell,איות
spin,ספין
spirit,רוח
split,התחלק
spoken,אמר
sponsored,בחסות
sports,ספורט
spot,נקודה
spread,פרוש
spring,אביב
sq,מרובע
square,ריבוע
st,סט
sta,סט
stab,דקירה
stable,יציב
stack,מחסנית
staff,צוות
stage,שלב
stay,תישאר.
stained,מוכתם
stairs,מדרגות
stakes,יתדות
stall,דוכן
stan,סטן.
stand,עמוד.
standard,רגיל
standing,עומד
star,כוכב
stars,כוכבים
start,התחל
started,החל
starting,מתחיל
stat,Stat
state,מצב
stated,צוין
statement,הצהרה
states,מדינות
static,סטטי
station,תחנה
status,מצב
stead,מיקום
steam,קיטור
steel,פלדה
stem,גזע
step,שלב
steps,צעדים
sty,דיר
stick,מקל
sticks,מקלות
style,סגנון
still,עדיין.
stock,מניה
stone,אבן
stones,אבנים
stood,עמד
stop,עצור
storage,אחסון
store,חנות
stores,חנויות
story,סיפור
stories,סיפורים
storm,סערה
storms,סופות
stra,שכבה
straight,ישר
strap,רצועה
stream,זרם
street,רחוב
strength,כוח
stress,לחץ
stretched,מתוח
strike,שביתה
string,מחרוזת
strings,מיתרים
strip,רצועה
stroke,שבץ
strong,חזק
stud,הרבעה
student,סטודנט
study,מחקר
stuff,דברים
su,su
sub,משנה
subject,נושא
submit,הגש
success,הצלחה
successful,מוצלח
successfully,בהצלחה
such,כזה.
sufficient,מספיק.
suggest,מציע
suit,חליפה
suits,חליפות
sum,סכום
summary,סיכום
sun,שמש
sung,שרתי
sup,SUP
super,מעולה.
support,תמיכה
supported,תמיכה
sur,sur
sure,בטח.
surface,משטח
surprisingly,באופן מפתיע.
sweet,מתוק.
swing,נדנדה
switch,החלף
sword,חרב
t,t
ta,טה
tab,לשונית
table,שולחן
tackle,תיקול
tag,תגית
tags,תגיות
tail,זנב
tails,זנבות
take,קח
taking,לוקח
tal,טל
tale,סיפור
talk,דבר.
talking,מדבר.
tall,גבוה
tan,שיזוף
tank,טנק
tap,הקש
tar,זפת
target,יעד
task,משימה
tax,מס
te,טה
team,צוות
tech,טק
technical,טכני
technology,טכנולוגיה
teen,נערה.
tele,טל
tell,ספר
telling,אומר
temp,זמני
template,תבנית
ten,עשר
ter,טרה
term,ביטוי
termination,סיום
terms,תנאים
terror,טרור
terrorism,טרור
terrorist,מחבל.
test,בדיקה
tested,נבדק
testing,בדיקה
tests,בדיקות
text,טקסט
texture,מרקם
th,ה
tha,Tha
than,מאשר
thank,תודה.
thanks,תודה.
that,זה.
the,The
they,הם
their,שלהם
them,אותם.
theme,ערכת נושא
then,אז
there,שם.
these,אלה.
thy,שלך.
thin,דק
thing,דבר
things,דברים
think,תחשוב.
thinking,חשיבה
third,שלישי
thirst,צמא
this,זה.
those,אלה.
though,אבל...
thought,חשב
thread,חוט
threat,איום
threatening,מאיים.
three,שלוש.
through,דרך
throw,זרוק
thus,כך
ti,Ti
tick,טיק.
ticket,כרטיס
tie,עניבה
tier,שורה
ties,עניבות
tight,הדוק
tile,אריח
time,זמן
timer,טיימר
times,זמנים
tin,פח
tiny,זעיר
tip,טיפ
typ,הקלדה
type,סוג
types,סוגים
typically,בדרך כלל
tips,טיפים
title,כותרת
to,אל
today,היום
together,ביחד
token,סמל
told,אמרתי לך.
tone,צליל
tons,טונות
too,גם אני.
tool,כלי
tools,כלים
top,למעלה
topic,נושא
tops,גג
torn,קרוע
total,סך הכל
touch,מגע
tower,מגדל
town,עיר
tr,tr
tra,טרה
trace,עקבות
track,רצועה
tracking,מעקב
tracks,מסלולים
trade,החלפה
traditional,מסורתי
train,רכבת
trained,מאומן
training,אימון
trans,trans
transfer,העברה
transform,שנה צורה
translation,תרגום
trap,מלכודת
traumatic,טראומטי
travel,נסיעות
treated,טופל
treatment,טיפול
tree,עץ
tri,טרי
try,נסה
trial,משפט
trigger,הפעלה
trip,טיול
true,נכון.
trump,מנצח
trust,אמון
truth,אמת.
tu,tu
tub,אמבטיה
tube,צינור
turn,סיבוב
turned,סובב
tv,טלוויזיה
twitch,עווית
two,שתיים.
u,U
uh,אה
ultimate,אולטימטיבי
um,אום
un,Un
uncle,דוד.
under,תחת
undo,ביטול
uni,יוני
union,איחוד
unique,ייחודי
unit,יחידה
united,מאוחדים
unity,אחדות
units,יחידות
universal,אוניברסלי
unknown,לא ידוע
unless,אלא אם כן
until,עד
up,למעלה
update,עדכון
updated,עדכן
upload,העלה
upon,On
upper,למעלה
urban,עירוני
urn,כד
us,אנחנו.
use,שימוש
used,בשימוש
user,משתמש
users,משתמשים
uses,שימושים
usher,סדרן
using,משתמש
usual,רגיל
usually,בדרך כלל
utter,מְגוּך
uttered,נאמר
v,v
va,va
valid,תקף
value,ערך
valued,ערך
values,ערכים
van,ואן
vantage,תצפית
variable,משתנה
vector,וקטור
vent,לפרוק
venture,מיזם
venue,מיקום
ver,ver
verb,פועל
verbal,מילולי
very,מאוד
verified,אומת
verse,פסוק
version,גירסה
vest,אפוד
vet,וטרינר
vi,vi
via,באמצעות
vic,ויק.
vice,סגן
video,וידאו
videos,קטעי וידאו
view,תצוגה
views,צפיות
vine,גפן
violence,אלימות
violent,אלים
virtual,וירטואלי
visible,גלוי
vision,חזון
visual,חזותי
vo,וו
voice,קול
void,בטל
vol,vol
volume,נפח
von,פון
vote,הצבעה
votes,קולות
vu,וו
w,מה?
wa,Wa
wage,שכר
wagon,עגלה
way,דרך
ways,דרכים
wait,חכה.
wake,התעורר
walk,לך.
walking,הליכה
wall,קיר
wallet,ארנק
wan,דאון
want,רוצה
war,מלחמה
ward,מחלקה
warm,חם
warming,התחממות
warn,אזהרה
warning,אזהרה
was,היה
wash,לשטוף
washed,נשטף
washing,כביסה
watch,שעון
watching,צופה
water,מים
waters,מים
wave,גל
waves,גלים
we,אנחנו
weak,חלש
wealth,עושר
weapon,נשק.
weapons,נשקים.
wear,ללבוש
weather,מזג אוויר
web,רשת
weed,עשב
week,שבוע
weekly,שבועי
weight,משקל
well,טוב.
went,הלך.
were,היו
west,מערב
western,מערב
wh,מה?
what,מה?
whatever,לא משנה מה.
wheel,גלגל
when,מתי
where,איפה?
whether,אם
why,למה?
which,איזה
while,בעוד
white,לבן
who,מי?
whose,של מי?
wi,Wi
wick,פתיל
wide,רחב
widget,וידג' ט
width,רוחב
wife,אישה
wig,פאה
wild,פראי.
will,וויל.
win,ניצחון.
wind,רוח
window,חלון
windows,חלונות
wine,יין
wing,כנף
wings,כנפיים
winner,מנצח
winning,ניצחון.
winter,חורף
wire,חוט
wired,מחווט
wise,חכם
wit,שנינות
witch,מכשפה
with,עם
within,בתוך
without,ללא
wives,נשים
wo,וו
wolf,זאב.
wolves,זאבים
woman,אישה
women,נשים
won,ניצח
wood,עץ
woods,יער
word,מילה
words,מילים
work,עבודה
worked,עבד.
worker,פועל
workers,עובדים
working,עובד.
works,עובד
workshop,סדנה
world,עולם
worldly,עולם
worm,תולעת
worms,תולעים
worn,שחוק
worst,הגרוע ביותר
worth,שווה
worthy,ראוי
would,כן.
wow,וואו.
wrap,עטיפה
wrapper,עטיפה
wreck,שבר
writ,כתב
write,כתוב
writer,כותב
writers,סופרים
writing,כתיבה
written,כתוב
wrong,טעות.
wrote,כתב
x,x
z,z
za,Za
zero,אפס
zip,zip
zone,אזור
