statement,translation
עדינה,Gentle
להתנקות,Cleanup
הרוח,The wind
משתנה,Variable
מיובש,Dried
חוף,Beach
דגי,Fish
הסלע,The Rock
החומים,Browns
שיטרוף,Shitruff
מקצה,Assign
הסוף,The End
פותח,Open
הדלת,The Door
שהתחייבתי,I committed
המתחדש,The Renewed
עוזב,Leaving
שואלת,Asking
למשחקים,Games
ברגעים,Moments
הכבלים,Cables
המכבידים,The Obsessive
השתיקות,Silences
שואלות,Asking
לאן,Where?
גורל,Fate
צועד,Marching
מענה,Reply
לשאלות,For questions
באשליות,In illusions
משעול,Track
שבו,Sit
דורך,Stepping
חולם,Dreaming
מתמשכת,Continuous
ממנה,From her
להלך,Walk
חזרות,Repetitions
דמויות,Figures
חסרות,Missing
זהות,Identity
רואות,See
נופלת,Falling
מתנפצת,Exploding
לבועות,Bubbles
כבתה,Shut down
מתחזקת,Maintaining
הכאב,The Pain
הולם,Holm
אילם,Mute
הרקות,The temples
שוגה,Shoga
לנשום,Breathe
כושל,Failing
הטיפות,The Drops
העם,The People
שהלך,Who Went
במדבר,In the Desert
קיבלנו,Received
תורה,Torah
היינו,We were
כולנו,All of us
הסנה,Senna
דיבר,Spoke
ליוו,LIW
אמונה,Faith
שיחד,Bribery
נושיט,Noshite
לשלום,For Peace
ליבנו,Our hearts
פועם,pulsating
כאחד,As One
דור,Generation
אחרון,Last
התקווה,Hope
תאבד,Lose
נעמוד,We will stand
שנשנה,Modified
הללויה,Hallelujah
איתנו,With Us
האומות,The Nations
נבקיע,Score
החומות,The Walls
נקים,Set up
הדם,The Blood
לאדם,per person
נבוא,We will
לבנים,White
שחורים,Blacks
נשים,Women
גברים,Men
נבנה,Built
מאוחד,Unified
שדגלו,Spilled
תהפכי,Become
שעון,Clock
החול,The Sand
ברקיע,In the sky
בכחול,In blue
הפחד,The Fear
חודר,Penetrating
גובר,Gobber
שזורם,Flowing
ליידי,Lady
זרה,Foreigner
הרווחתי,I earned
בלהט,Passionately
דתי,Religious
בנשימה,Breathing
עצורה,Arrested
נצמד,Glue
גופך,Your Body
העירום,The Naked
לילי,Lily.
הדומם,Inanimate
ריח,Smell
צווארך,Your neck.
שנירדם,Sleeping
בפעם,Time
הראשונה,The first
בלתי,Invisibility
נמנע,Avoided
כולך,All of you
הבלתי,The Invisible
המגע,The Touch
הגוף,The Body
מכפר,Villager
ניצחתי,I won.
שנגדי,Shgadi
איתי,With me
דומם,Still
האהבה,Love
חיינו,Our Lives
ימינו,Our Right
שיכולה,That can
לשנות,Change
ההקרבה,The Sacrifice
נפשנו,Our Soul
גופנו,Our bodies
שמולה,Shmula
לשאול,Ask
מת,Dead
האכזבה,The Disappointment
שידענו,We knew
נשבענו,We swore
שכולה,Whole
חושב,Think
לעצמי,To Myself
עיקר,Main
שומר,Guard
אמרתי,I said
כשראיתי,When I saw
שתי,Two.
לחייך,Smile
שאלתי,I asked
תרצי,You will.
שאלך,Shall I?
שאבכה,I'll cry
בגללך,Because of you
יקרוס,Will collapse
תחתיו,Underneath
יכופף,Bend
ענפיו,His Branches
דבריי,DeBrie
הבטחתי,I promised
לצידך,By Your Side
נסגר,Close
הלכת,You went
לתמיד,Forever
דרכים,Ways
רבות,Many
לחמוק,Get away
מלומר,Melomer
הולכים,Going
מסביב,Around
נוגעים,Touching
בעיקר,Mostly
פנתר,Panther
מצויר,Toon
שנכלא,Jailed
בסוגר,Close
מיואש,Despair
מיוסר,Tormented
מצא,Find
לפתע,Suddenly
אזר,Azar
אומץ,Courage
לב,Heart
מאויר,Illuminated
השליך,Dropped
הפצצה,The Bomb
לחופשי,Set Free
יצא,Out
שפן,Rabbit
שנדרס,Schanders
בכיכר,Square
מקומט,wrinkled
נזכר,Remembered
שכל,Mind
יקר,Expensive
בשתי,On two
שניות,Seconds
אחזור,Return
גיבור,Hero
בסרט,In film
אפתור,Resolve
ספור,Count
כשהכל,When everything
נגמר,Over
מסתתר,Hiding
מנתר,Separating
יויו,Yoyo
מתפרק,Dismantling
מתחבר,Connecting
בלא,Baal
מאתר,Locator
מאלתר,Improvising
מוכן,Ready
רעיון,Idea
דמיון,Similarity
פתרונות,Solutions
חכמים,Smart
מדהימים,Amazing
אלימים,Violent
ברירה,Choice
במרדף,In pursuit
האימים,The Horrors
אלפי,Thousands
פעמים,Times
טה,Tae
אתכנן,I will plan
מבצעים,Operations
אשנה,Ashna
אמצעים,Means
אחליף,Substitute
צבעים,Colors
קרוב,Close
אלוף,Champion
הקטעים,The Pieces
הרים,Mountains
סלעים,Rocks
ברגע,In a moment
פחדתי,I was afraid
לגשת,Access
הצווארון,The Collar
זולגות,Flowing
הראש,The Head
מסתחרר,Spinning
מסתובב,Spinning
כולו,All
אזהרה,Warning
תגידי,Say
מפחד,Scared
מכל,All
טעות,Error
מסתכן,Risk
נוהג,Driving
בזהירות,Carefully
נאבק,Struggled
במציאות,In reality
מצללים,From Shadows
בפחדים,Fears
מהילדות,From Childhood
הגשם,The Rain
מתחזק,Maintainer
רעם,Thunder
ניפגש,Meet
פוסע,pacing
צעדים,Steps
בשלולית,In a puddle
קפואה,Frozen
טיפה,Drop
מזיעות,Sweating
בכיסים,In Pockets
השעה,The Hour
שכובה,Shut down
החם,The Hot
ירוקות,Greens
בשחפים,Seagulls
חום,Heat
לקור,To the cold
דלת,Door
ביתך,Home
נתהלך,We walk
יחפים,Barefoot
קרסו,Crashed
מפרשי,Sails
אמרת,You said
שהלילה,That tonight
מהים,From the sea
אשוב,I will return
מפתן,threshold
שערייך,Your gates
מכה,Blow
גגות,Roofing
מגדלייך,Your Towers
מראש,Upfront
צוק,Cliff
מורם,Uplifted
אקנא,Acne
ביופייך,Your Beauty
המשקר,The Liar
שארית,Remains
כוחותיי,My powers
ארעד,ARAD
סדין,Sheet
אדום,Red
הבד,The fabric
תתעטפי,Wrap up.
בגופו,In His Body
למכירה,For Sale
חזרה,Back
שעריו,His Gates
אנפץ,I'll smash
דמותך,Your Image
אתערטל,Athartal
גליו,Glio
לוקחת,Take
אספר,Esper
תשאלי,Ask
אגע,Touch
תתקרבי,Come closer.
אצלך,Yours
נגמרה,Over
נוגע,Touching
לדעת,Knowing
אגלה,I will
תחפשי,Search
נשארת,Stayed
נכנס,Incoming
למערה,Cave
בה,In her
נופל,Falling
מהגג,From the roof
תפחד,Be afraid
תתעודד,Cheer up.
הנשמה,The Soul
מקבל,Receiver
סטירה,Slap
בבוקר,In the morning
מבין,Understand
אדמה,Earth
בוערת,Burning
לזה,To this
לגעת,Touch
לשבור,Break
לבך,Your Heart
לתהום,Abyss
לבדך,Alone
באמצע,Middle
בנסיכה,The Princess
היי,Hey.
בבקרים,In mornings
בזמן,On time
עצבני,Nervous
בלוח,In Table
הזמנים,The Times
מתמודדים,Contestants
מושלם,Perfect
בדלים,Bedells
צפים,Floating
הקפה,The Coffee
מר,Mr.
בפה,Mouth
להמליץ,Recommend
סדר,Order
בחיים,Alive
שיכור,Drunk
מצטברים,Cumulative
כסף,Money
למונית,For Taxi
להשיב,Reply
השכנה,The Neighbor
היה,There was
בחור,Guy
נחמד,Nice.
מחדש,Re-
שמזיז,Which moves
אכלת,You ate
לארוחת,For dinner
הבוקר,This morning
אוכל,Food
מבפנים,Inside
אופטית,Optically
מטשטשת,Blurring
משמעותי,Significant
לגמרי,Totally.
ממני,From me
מהחיים,From life
שאתה,That you
מתפורר,Disintegrating
לרסיסים,Shrapnel
יומיומיים,Daily
הפירורים,The crumbs
השפם,The moustache
שקצת,That a little
מסתיר,Hide
סקרן,Curious
רגשן,Emoticon
ציניקן,Cynic
כמוני,Like me
כלום,Nothing.
בינינו,Among Us
שוני,Shawnee
סופה,Storm
צעיפי,Scarves
קטיפה,Velvet
עטופה,Wrapped
גלימה,Cloak
שקופה,Transparent
אה,Huh.
בלבן,White
טרופה,Truffa
ענני,Clouds
הלהט,The Passion
גופי,Goofy
להבה,Flame
כולי,All
עוטפת,Wraps
צריך,Should
פלא,Wonder
מלאך,Angel
בידי,Biddy
אחז,Hold
עטוף,Wrapped
בתלתלי,In curls
הפז,Hephaz
עמדו,Stand
בתור,As
להשיג,Obtain
כרטיסים,Tickets
בשוק,In the market
השחור,The Black
לשמוע,Hear
מנגן,Plays
בכינור,Violin
רואיי,Roey
קינאו,Jealous
שמי,My Name
הוכרז,Announced
רצו,Wanted
מכרז,Tender
מחלקי,Partitions
בעוגה,In cake
אמרו,said
שכישוף,That Witchcraft
אצלי,My place
במגע,Contact
תקוות,Hopes
לרפא,Healing
דאגה,Concern
תלו,Hang
לעשות,Do
תגיד,Say
הגלגל,The Wheel
במה,In what
בלורית,Ballorian
הזהב,The Gold
נעלמה,Disappeared
בן,Ben
תלוי,Depends
בלימה,Containment
מתחתי,Underneath
התהום,The abyss
בליבי,In my heart
האימה,The Horror
הלאה,Next
כשמזלי,When my luck
שיחק,Played
כוכבי,Stars
אורו,Oro
גנז,Ganz
נמוג,Vanishing
גז,Gas
שחשבתי,I thought
לידידיי,To my friends
נעלמו,Gone
שאכלו,Eaten
מידיי,My hand.
הכינור,The Violin
פקעו,Expired
מיתריי,Mithri
תחנות,Stations
הכביש,The Road
סימן,Mark
עצור,Halt
התקוות,Hopes
מבדיל,Distinction
בקושי,Hardly.
השמות,Names
שחולפים,Passing
במי,Whom
נלחם,Fighting
שנמכר,Sold
בסיכונים,At Risk
במחר,In Tomorrow
פוחד,Afraid
מהכאב,From the Pain
מוגן,Protected
למרות,Although
מילה,Word
מגע,Contact
קריאה,Read
אקח,I will.
הדמעות,The Tears
אברח,Run away.
בתחזית,Forecast
הודיעו,Notify
שהאושר,The Happiness
מתקרב,Approaching
שמחה,Joy
יכסו,Will cover
הרקיע,The sky
נוצצות,Shiny
בוהות,Staring
בחורף,In Winter
החולף,The Pass
יהיה,Will
הכינורות,The Violins
דרוכים,On alert
מכוונים,Intent
תיבות,Boxes
התהודה,The Resonance
נושמות,Breathing
פסגות,Peaks
מרגיע,Relaxing
המועקות,The Distresses
קוראות,Readers
ליום,per day
המתקרב,Approaching
פזמון,Chorus
הנשים,The Women
ההן,Them
במלחמות,In wars
הישנות,The old
שחיכו,Waiting
הרציף,The Dock
נופפו,Waving
הלבנות,Whites
הרכבות,The Trains
עצרו,Stop
בתחנה,At the station
מצפים,Expected
לטוב,For Good
החיוכים,Smiles
מפעם,From
מעיזים,Dares
להתרחב,Expand
הגנן,The Gardener
שתיכף,Behaved
יפתח,Open
הפרח,The Flower
ספינת,Ship
האשליות,The Illusions
מרסקת,Crusher
הקרח,The Ice
האחד,The One
שישמור,To be preserved
יציף,Float
ברוך,Blessed
הסכנות,The Dangers
היחיד,The only
שיכסה,Zip Tie Domes
כשקר,When cold
יבטיח,Assure
רגעים,Moments
שמחות,Joys
קטנות,Small
שישמח,May he rejoice
בשמחותיי,My Joys
יאהב,Will love
חולשותיי,My weaknesses
פשוט,Simple
אפול,Apull
שגיאותיי,My Errors
ישבור,Yeshbor
הכללים,The rules
הזיכרונות,Memories
המתוקים,Sweets
נמהלו,Namhalo
בחלומות,In dreams
דוקרים,Stabbing
שכחה,Forgetting
המשאלות,The Wishes
כלו,All
בסבלנות,Patiently
מחכות,Waiting
למחר,For tomorrow
שיהיה,Whatever.
ייגע,Touching
נימיי,Nimei
מהתחלה,From the beginning
שעוד,ALSO
יידע,Know
קולי,Cooley
שיידע,Let him know
להסתיר,Hide
בשפת,Language
הנשימות,The Breathing
יצמיח,will grow
כנף,Wing
אליי,To me
האישונים,Pupils
יראה,Look
מבטי,My Eyes
מעיניו,From his eyes
שנרשום,Enroll
שיא,Record
בעוצמה,Strongly
תום,Tom
סגרת,Closed
ליבך,Your Heart
לאחד,For one
שמכור,Seller
ליופייך,For your beauty
לגופך,To Your Body
נגמל,Weaned
שיגעון,Great.
מכור,Addicted
אבדון,Abaddon
לאש,Lash
בואי,Come on.
חונק,Choking
בגרון,In the throat
זהו,This is
מנסה,Trying
כאבים,Pain
לשכך,For quelling
מתייסר,Agonizing
בזכרך,In Your Memory
יכולתי,I could
לנשקך,In Your Kiss
מאמין,Believe
שאני,That I
אתמכר,Addicted
לרכות,Softness
בשמי,In My Name
ברלין,Berlin
מנסים,Trying
למצוא,Find
משמעות,Meaning
לחיים,Cheers.
עפים,Flying
קתדרלות,Cathedrals
מציצים,Peeping
בסימטאות,In alleys
הד,Echo
משק,Farm
כנפיהם,Their Wings
מתעייפים,Tired
מבקשים,Requests
לליבות,Cores
לכתפיים,Shoulders
רחבות,Extensions
מהלכים,Moves
בהונות,Toes
עת,Time
שינויי,Changes
העיתים,The Times
שומרים,Guards
האדם,The Human
מזגו,Temperance
מכוכבים,Stars
מתנגשים,Collision
עצמו,Himself
מאלים,Males
אחרים,Others
ניצבת,Stands
כמסומרת,As numbered
פנייך,Your Face
המומות,The Shocks
כשדרכתי,When I stepped
צורך,Need
רגיש,Sensitive
מאוד,Very
הרגשתי,I felt
הדופק,Pulse
שמכאיב,That Hurts
ברקה,Barca
ליבי,Libby
כשאיבדתי,When I lost
שליטה,Control
טו,Tu
ככל,As much
שהתכווצת,Shrinking
התעקשתי,I insisted
להמשיך,Continue
נסחפתי,I drifted
הוספתי,I added
רציתי,I wanted
להגיד,to say
מחוק,Deleted
פי,Fi
ניתק,Disconnect
פושע,Criminal
החוק,The Law
להקשיב,Listen
מסוגל,Capable
כשהבנתי,When I realized
מגוחך,Absurd
הייתה,There was
מוחלטת,Absolute
דאגתי,I worried
נמצאת,Found
תנסי,Try
לתאר,Describe
מצטער,Sorry.
הכמיהה,The longing
מהדהדת,Resounding
מסע,Journey
לרחוק,Far Away
מאוחר,Late
רחש,Sizzle
מוכר,Familiar
סיבוב,Rotation
המפתח,The Key
תנופה,Leverage
צעד,Step
הושטה,Outreach
כלות,Brides
הכוח,The Force
בוחרת,Select
לחוש,To feel
כשאת,When you
הולכת,Going
נצח,Eternal
התמונה,Image
נפתחת,Opens
מתבהר,Clearing
חיפשתי,I searched
במקומות,In places
אינספור,Countless
נכתב,Written
לוחות,Tablets
ימייך,Your Days
עיוור,Blind
עינייך,Your Eyes
תהיי,Be
מולי,Molly
מקלט,Sanctuary
מחפש,Search
תפני,Turn
קל,Easy
כשאבוא,When I come
מנצנצים,Glitter
נדלקים,Light Up
מחפשות,Search
נוגעות,Touching
באושר,Happily
מהחלון,From the Window
בוקע,hatching
ראשון,First
שתעברי,Pass
בלעדי,Exclusive
שכדאי,I should
עצמך,Yourself
מודה,Thanks
שרגע,That moment
הפרידה,The Farewell
עבר,Past
מתחיל,Beginner
לשכוח,Forget
שרצית,That you wanted
שאזכור,Remembering
שהרסה,Destroyed
שרפה,Burned
גשרים,Bridges
מאחור,From behind
תלכי,Go on.
איתו,With him
בלעדינו,Without us
תפחדי,Fear.
המצאנו,We invented
חשבה,thought
מצאה,Found
הקשה,Hard
ללכת,Go
כשבוכים,When we cry
בחום,In Heat
הידיים,The Hands
מילים,Words
הסוד,The Secret
כואב,Painful
שלעולם,Never
בעצם,Actually
לבסוף,Finally
תראי,Look.
נפתר,Solved
כשמש,As sun
התעייפה,Tired
לכעוס,Angry
בכתה,Cries
שתאמין,Believing
שרק,Shrek
עליה,About her
סוס,Horse
מעץ,Wooden
מוטל,Motel
מדליון,Medallion
נשמו,Breathe
חלמו,Dream
הדמיון,Imagination
סלים,Salim
הזיות,Hallucinations
בד,Fabric
הלבשתי,Dressed
שמלה,Dress
לקראת,Towards
כלולות,Included
קרא,Read
בוכה,Crying
פניך,Your Face
מועדות,Commissions
ציירתי,I painted
שלל,Loot
בואה,Boa
כסני,Assani
רדים,Reds
הנחתי,I assumed
אדן,Aden
החלון,Window
מבדידות,From Loneliness
שואגת,Roaring
לבשת,You wore
בגדי,Clothing
חג,Holiday
עלית,Elite
המזח,The Pier
חם,Hot
צחקת,Laughed
הכלבים,The dogs
שוטטו,Wandering
צעק,Shout
קרטיב,Popsicle
הילדות,Childhood
בים,At sea
צוחקות,Kidding
לכולם,For everyone
מנוכר,Alienated
בודד,Lonely
שר,Minister
נשמה,Soul
סניוריטה,Seorita
עברו,Move
לבן,White
פרחי,Flowers
הגן,The Garden
שורקת,Whistle
אפור,Gray
שתק,Shut up.
כלבים,Dogs
שעובר,Passing
לבנות,Build
שאמצא,Find
אפסיק,Stop
לרגע,For a moment
לחפש,Search
שאפול,Shall I fall
לטפס,Climb
כשהזמן,When the time
בוחר,Selecting
לענן,Cloud
שאדע,Let me know.
לצמוח,Grow
למרוד,To rebel
כוחי,My Strength
שאגשים,I will fulfill
נה,Na
משהו,Something
נזהר,Carefully
גלוי,Visible
נסתר,Hidden
אסור,Forbidden
נדע,We will know
לנצח,Forever
כשהלילה,When the night
תבער,Molotov
תאיר,Tair
תשרוף,Burn!
כשפיך,Spilled
שפתי,Lips
יטרוף,Stalking
הרגע,Relax
יזהר,Carefully
עתיד,Future
עדיין,Yet
הקשר,Context
נשמר,Saved
עוצר,Stop
הכניסה,Entry
זוכרים,Remembered
מסתייגים,Disagreements
תבקש,Ask
תקבל,Accept
בעניינים,Matters
מזמין,Inviter
קודם,Prev
ניגשת,Accessed
ההימורים,Gambling
מרה,Mara
הכסף,The money
רחמים,Mercy
שעת,Time
הכושר,Fitness
עברה,Passed
לפי,According to
זהב,Gold
תחפש,Search
מכיר,Familiar
המצב,The Situation
המצאת,Invent
כשהיית,When you were
מיליונר,Millionaire
בשטח,On the ground
תועלת,Benefit
לעמוד,Stand
ממי,From whom
עומק,Depth
שטח,Area
בשבילה,For her
שמשתנה,That changes
חול,Sand
שמטפטפת,Drip
סקס,Sex
אלכוהול,Alcohol
שכרה,Rented
דירה,Apartment
עבדה,Worked
בזול,Cheap
תקופה,Period
הבינה,Understood
עוברים,Passing
חיים,Life
שזה,Which is
נקבע,Set
לאלוהים,To God
עמדה,Position
רצתה,Wanted
ביקשה,Requested
הזדמנות,Opportunity
לתפוס,Catch
הרכבת,The train
מכרה,Mine
לאור,In Light
שהיא,Which is
נפלה,Fallen
עצובה,Sad
זונת,Slut
צמרת,Top
גוף,Body
ניגבה,Nigave
מבט,View
מטורפת,Crazy.
הפסיקה,The Stop
לשחק,Play
טיפסה,Climbed
שעכשיו,Now
משחקת,Playing
גמרה,Finished
באור,In Light
שברחה,Escaped
נוקש,Punctuated
זועק,Screaming
בלחישה,Whispering
מחלוני,Window
הנוף,The View
טועה,Wrong
כבושה,Occupied
מיתמר,Mithmer
עשן,Smoke
מפחם,From coal
מראות,Mirrors
הלחות,Humidity
השורפות,Burners
כהה,Dark
עייפות,Tired
חרב,Sword
ההזיות,Hallucinations
ערש,Lullaby
השליו,The quail
המוגן,Protected
אבד,Lost
במסך,On Screen
למשול,Rule
באדמה,In the ground
מצידה,For her part
מתנערת,disavowed
פורשת,Retired
הצחוקים,Laughter
לריק,To Rick
כשהנפש,When the Soul
אטומה,Sealed
ניצתה,Fired
דרך,Way
שלומנו,Salome
שואלים,Ask
לשלומנו,To our peace
השלום,The Peace
שאיננו,Which is
בלהות,Frightened
שבעדנו,In favor
עוברות,Passing
עלינו,About Us
השעות,The Hours
פנינים,Pearls
מדמעות,From Tears
חולי,Sick
ירח,Moon
מחכים,Waiting
לאורח,For Guests
מתיבת,From box
ההפתעות,The Surprises
ידידנו,Our Friend
ביותר,Most
יצליחו,Will succeed
להזדהות,Identify
שהפחד,That fear
יוצר,Creator
מהשפתיים,The Lips
האצבעות,Fingers
לאות,Signal
העניינים,Matters
יגעים,Weakness
העיניים,The Eyes
יגעות,Leggings
איבדתי,I lost
הפנים,The Face
בניתוח,In Surgery
התדמית,Image
הרופא,The Doctor
אמר,He said
תביט,Look.
פעמיים,Twice
בבקר,Becker
לביקורת,For review
כשהם,When they
נגמרים,Ending
תעשה,Do
פרצופים,Faces
ייפתחו,Open
התפרים,The stitches
כשהופעת,When you appeared
ממזרח,From the East
שמפה,Shampa
האמת,The Truth
מורכבת,Complex
משקרים,Lying
אוסף,Collection
השברים,The Fractions
שנותרו,Remaining
מחלומי,Dreaming
מתחברים,Connecting
מביט,Watching
בעיניים,Eyes
המסיכה,The Mask
העין,The Eye
הבוכה,The Crying
צוחקת,Kidding
הצוחקת,The Laughing
ניצן,Nitzan
רגב,Regev
הגעת,You have arrived
מרקד,Dances
השגב,Weakness
צוחק,Laughing
טיפוס,Type
כזה,Such
שמח,Happy
שמע,Listen
העצבות,Sadness
בוטח,Trust
מבסוט,Satisfied
כמוך,Like you
ארז,Erez
ללחוש,Whispering
אהבוך,Love you
בנות,Girls
החמד,Hamed
שבגדו,Betrayed
האוהבים,The Lovers
לכתוב,Write
עליך,About You
כשבארץ,When in Israel
המובטחת,The Promise
הבר,The bar
רכבת,Train
אחרונה,Last
יוצאת,Outgoing
טראנס,Trance
אטלנטית,Atlantic
ארוכה,Long
נוצץ,Shiny
פריז,Paris
עורפל,Orpheum
מקור,Source
בתמונה,Pictured
בשיער,Hair
קטר,Qatar
המעבר,The Passage
השארתי,I left
גרמניה,Germany
השבילים,The Paths
המילים,The Words
הרגתי,I killed
שומרייך,Your Guardians
בת,Daughter
מלכה,Queen
ארקוד,Dance
צמוד,Close
העומדת,Standing
אורפל,Orpel
בצרפת,In France
בסמטת,In Alley
לבושה,Dressed
במעיל,In Coat
צווארון,Collar
צרפתי,French
מעילך,Your coat
השיער,The Hair
עייף,Tired
זקן,Old Man
נושף,Exhales
קצר,Short
צועדים,Marching
רצים,Runners
רוקדים,Dancing
שנות,Years
המסילה,The Railway
הפכה,Became
צלילים,Sounds
אדמדם,Reddish
להתחיל,Get Started
עניין,matter
נלמד,Learn
להתעורר,Wake up
שפעם,That once
חלמתי,I dreamt
בנפשי,In my soul
נאמן,Faithful
לפחות,At least
קחי,Take
מאלפי,Alfie
שקרים,Lies
מתשוקות,From Passions
כוזבות,False
מנבכי,Snuggles
מקרבות,Battles
בהם,In them
ממשחק,Game
אבוד,Lost
מתמסר,Relay
ברחובות,On the streets
סתיו,Autumn
ברכייך,Your Knees
לשים,Put
משאירה,Leaves
הקרשים,The planks
קניתי,Bought
בישלתי,I cooked
מרק,Soup
החריף,Spicy
תיארתי,I described
שתחזור,Return
רעב,Hungry
כשהמרחק,When the distance
לבשתי,I wore
החולצה,The shirt
שקנית,You bought
בפראג,Prague
כיס,Pocket
ימין,Right
תפור,Sewing
בבורדו,Bordeaux
מסוכריות,Candy
הגומי,The rubber
רוחות,Ghosts
תחילת,Start
נושבות,Blowing
במטבח,In the kitchen
פתוח,Open
להיראות,to appear
מכסה,Coverage
בריח,Smell
מדברים,Talking
אושר,Happiness
בלעדיו,Without him
שבסמטת,In the alley
איפה,Where?
שתמיד,Always
בנו,Son
ישנו,There is
נוכל,A crook
לנוח,Rest
עצומות,petitions
צוואר,Neck
מזיע,Sweating
שורפות,Burned
שיער,Hair
אסוף,Collect
הרחובות,The Streets
בוערים,Burning
אלס,Els
אהובה,Beloved
כרית,Pillow
ילדה,Girl
נלך,Let's go
לקרקס,The Circus
שהגיע,Arrived
לעיר,To Town
אגש,I will.
אפר,Ashes
שתיקתך,Your Silence
נטושה,Abandoned
שפתייך,Your lips
רוך,Tender
שיערך,Your hair
האסוף,Collect
הרגשת,You felt
ניתוק,Disconnect
לכתף,Shoulder
מסביר,Explains
לבוקר,In the morning
שסוגר,Closed
מעגל,Circle
עקשן,Stubborn
מפסיק,Stops
להישרף,Burn
התגובות,Responses
האקורדים,The chords
מספיק,Stop
להתמכר,Addicted
מפחיד,Scary
לצאת,Get out
המרחק,Distance
שפוי,Sane
להדחיק,Repress
מספיד,Speed
שבוי,Captive
רגשי,Emotional
אשמה,Guilt
המשיכו,Continue
מכרת,You sold
שותק,Silent
המצפון,Conscience
מחביא,Hide
להתמסר,Surrender
מרחק,Distance
צפוי,Predicted
היתה,There was
שב,Sit
לגוף,The Body
להחליט,Decide
ברורה,Clear
שותקת,Shut Up
מתרחקת,Moving away
צודק,Right.
אשם,Guilty
סתם,Just
אדמת,Land
טרשים,Cradles
התחנה,The Station
חללית,Spaceship
לצד,Side
מפסיד,Loser
נשכר,Hired
אבק,Dust
אפרפר,Ashes
נגעה,Touched
קלות,Easy
בהזייה,In Delusion
פרידות,Farewells
בתופים,Drums
הולמת,Holm
ברקות,Shines
שקיעה,Sunset
שקיעות,Sunsets
בשדות,In the Fields
בערפל,In the Mist
אויר,Air
שנשבה,Captured
לשום,None
בזוית,Angle
השפתיים,Lips
סיגריה,Cigarette
כבויה,Off
בשלוש,On three
נוהגת,Driving
שתויה,Drunk
בכורסא,In the armchair
עמוקה,Deep
מנומנמת,Sleepy
בגרביים,In socks
שונות,Various
תפוח,Apple
בגלויית,Postcard
תיירים,Tourists
בצבע,Color
כועסת,Angry
ביני,Binney
לבינך,Between You
עדשת,Lens
מצלמה,Camera
עלבון,Insult
ארוך,Long
מצלם,Filming
מסתירה,Hide
מאחורי,Behind
משקפיים,Glasses
כהים,Dark
עצבות,Sadness
פקוחות,Open
שולחות,Senders
מופקר,Prostitute
העדשה,Lens
מתלהב,Excited
ממציא,Inventor
אומן,Artist
משחר,From Dawn
תפקיד,Role
מצטייר,Drawn
חבר,Member
ההורים,Parents
חמוד,Cute
אבא,Dad.
היססתי,I hesitated
עצמתי,Selfish
עיניי,My Eyes
ראשונה,First
פספסתי,Missed
בגיל,Age
ההתבגרות,Puberty
התאהבתי,I fell in love
הפעלנו,Activated
כוחות,Forces
ניהלנו,We ran
דיאלוג,Dialogue
מתחבק,Hugging
מתנשק,Kissing
נעים,Pleasant
לחגוג,Celebrate
שמתחשק,who desire
שאלה,Question
עניתי,I answered
מיד,Immediately
אמרה,She said
שתאהב,Love
לעד,Forever
נשאלתי,I was asked
בשעה,At the hour
היעודה,Designation
התשבע,Swear
תסרב,Refuse
פקודה,Command
עייני,Eyes
נבהלתי,I panicked
שמדעתי,That I know
אצא,Out.
עיני,My Eyes
שנינו,Both of us
באותה,Same
שפה,Language
תשף,Whistle
מתכון,Recipe
תעושה,Do
מצית,Lighter
מכבה,Switching off
השטויות,Nonsense
רגיל,Normal
לאלה,To these
שעושות,that do
אומרות,Saying
סבבה,Cool.
צריכה,Need
טוטאלי,Total
לויאלי,Loyali
באלי,Bali
געגועים,Longing
שוברים,Breakers
לבבך,Your Heart
איכפת,Care
תבוז,Despise
לגאווה,For Pride
תשטה,Fool!
הופכת,Becomes
גבול,Border
תשחק,Play
תישחק,Play.
יופיו,Beauty
הגישה,The Approach
התלת,The triad
שמרת,You saved
צער,Grief
חייך,Smile
בגאווה,Proudly
לארמון,The Palace
בחיוך,Smile
רחב,Wide
מגרד,Scraping
משעמום,Boring
המזגן,The air conditioner
עובד,Works
החוצה,Out
תעבור,Pass
פראש,Frash
תנוח,Rest
מתקדמת,Advanced
לים,Sea
קפיצה,Jump
למים,Water
תציל,Save
מסתכלת,Watching
להתיישב,Settle
תשבור,Break
תביא,Bring
ארטיק,Popsicle
מסטיק,Gum
תיקח,Take
בגד,Clothing
שכולם,Everyone
יחכו,Wait
עשה,Done
איתה,With her
סלפי,Selfie
תן,Give
לאהבה,For love
לבזבז,Waste
תצחק,Laugh
החוף,The Beach
שוטפת,Fluent
האופק,The Horizon
בכתום,Orange
הרגליים,The Feet
הערב,Tonight
מתייבש,Drying
יעשה,Will do
לגרום,Cause
להתאהב,Fall in love
אעשה,Will do
התמכרתי,I became addicted
חינם,Free
אנלא,ANALA
הנחות,Discounts
לעשן,Smoking
יציאה,Exit
חוסמים,Blockers
הכניסות,Logins
עמדת,Position
מיוחד,Special
קיבלת,You got
אנס,Anse
להתקרב,Zoom in
באת,You came
מוזמן,Invited
למסיבה,Party
טעויות,Errors
ברשימות,In Lists
הזמנתי,I ordered
הבנות,The girls
הטלפון,The Phone
רוטט,vibrating
לענות,Answer
במוד,In Mode
תלמד,Learn
מהוריד,From Download
חותמת,Stamp
